Food,Capric acid,Lauric acid,Myristic acid,Palmitic acid,Palmitoleic acid,Stearic acid,Oleic acid,Linoleic Acid,Linolenic Acid,Stearidonic acid,Eicosenoic acid,Arachidonic acid,Eicosapentaenoic acid,Erucic acid,Docosapentaenoic acid,Docosahexaenoic acid,Butyric acid,Caproic acid,Caprylic acid,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,Choline,Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated",Dietary Fiber,"Folate, DFE","Folate, food",Folate,Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,Vitamin A,Vitamin B12,"Vitamin B-12, added",Vitamin B6,Vitamin C,Vitamin D,Vitamin E,"Vitamin E, added",Vitamin K,Water,Zinc
"Great northern beans, dried",0.01,0.006,0.046,0.15,0.026,0.06,0.114,0.018,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.008,0.005,0.0,0,2054.0,73.45,0,1.0,3.0,225.0,0.05,0,339.0,0.149,0.021,0.342,0.0,33.0,33.0,33.0,0,1.24,0,0,199.0,1.16,1349.0,2289.0,11.73,17.0,2.06,27.3,968.0,73.45,0,0.622,0.54,17.0,2.5,0.0,0.62,0.9,0.0,0.0,0.0,0.0,3.51,6.31
white bread,0.024,0.023,0.178,2.077,0.191,1.138,3.408,1.698,0.107,0.0,0.066,0.036,0.001,0.008,0.005,0.002,0.013,0.009,0.006,0.0,0,171.0,20.43,2,61.0,27.0,29.1,0.084,18,213.0,3.716,1.927,3.554,1.2,106.0,9.0,66.0,57,1.81,115,275,20.0,4.323,112.0,282.0,10.52,16.0,0.267,19.9,575.0,3.18,0,0.343,10.04,22.0,0.22,0.0,0.203,7.5,0.2,0.41,0.0,4.5,56.51,1.05
"Pears, fresh ",0.006,0.0,0.033,2.231,0.201,0.811,3.411,1.555,0.048,0.0,0.027,0.188,0.0,0.0,0.007,0.058,0.004,0.0,0.004,0.0,0,56.0,0.72,0,0.0,372.0,293.8,0.072,9,143.0,3.658,1.911,3.126,0.0,47.0,47.0,47.0,0,1.75,503,0,12.0,0.075,198.0,138.0,12.56,160.0,0.457,30.7,142.0,0.37,0,0.04,9.51,160.0,0.89,0.0,0.17,0.0,2.0,1.05,0.0,0.3,76.15,1.29
"frozen mixed vegetables: carrots, peas, corn, and green beans",0.303,0.351,1.148,3.207,0.246,1.221,2.905,0.466,0.041,0.0,0.02,0.018,0.003,0.0,0.006,0.0,0.247,0.202,0.127,0.0,0,107.0,4.73,0,22.0,35.0,18.7,0.009,0,123.0,3.32,0.554,7.032,0.0,3.0,3.0,3.0,0,0.05,0,0,10.0,0.109,95.0,132.0,3.13,95.0,0.194,3.2,61.0,4.13,0,0.03,10.39,97.0,0.19,0.0,0.05,0.9,0.0,0.25,0.0,1.3,81.24,0.39
Lentils,0.0,0.0,0.003,0.136,0.003,0.015,0.184,0.414,0.112,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35.0,63.35,0,23.0,0.0,96.4,0.754,0,352.0,0.193,0.526,0.154,10.7,479.0,479.0,479.0,0,6.51,0,0,47.0,2.605,281.0,677.0,24.63,0.0,0.211,0.1,6.0,2.03,0,0.873,1.06,2.0,0.0,0.0,0.54,4.5,0.0,0.49,0.0,5.0,8.26,3.27
"Kidney beans, dried",0.0,0.0,0.003,0.096,0.016,0.005,2.216,0.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1246.0,52.1,31,3407.0,0.0,97.1,1.786,175,279.0,2.232,0.328,0.115,10.4,274.0,274.0,274.0,0,42.46,2428,0,694.0,10.707,481.0,4466.0,21.93,0.0,1.5,29.3,211.0,7.27,0,1.252,4.78,293.0,0.0,0.0,0.61,566.7,0.0,1.03,0.0,1359.5,7.3,4.72
frozen mixed vegetables: peas and carrots,0.303,0.351,1.148,3.207,0.246,1.221,2.905,0.466,0.041,0.0,0.02,0.018,0.003,0.0,0.006,0.0,0.247,0.202,0.127,0.0,0,107.0,4.73,0,22.0,35.0,18.7,0.009,0,123.0,3.32,0.554,7.032,0.0,3.0,3.0,3.0,0,0.05,0,0,10.0,0.109,95.0,132.0,3.13,95.0,0.194,3.2,61.0,4.13,0,0.03,10.39,97.0,0.19,0.0,0.05,0.9,0.0,0.25,0.0,1.3,81.24,0.39
"Pumpkin, canned",0.0,0.003,0.018,0.103,0.018,0.008,0.018,0.007,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.0,8.09,4795,6940.0,0.0,9.8,0.107,0,34.0,0.037,0.015,0.146,2.9,12.0,12.0,12.0,0,1.39,0,0,23.0,0.367,35.0,206.0,1.1,0.0,0.054,0.4,5.0,3.3,0,0.024,0.28,778.0,0.0,0.0,0.056,4.2,0.0,1.06,0.0,16.0,89.97,0.17
"corn, fresh ",0.006,0.0,0.033,2.231,0.201,0.811,3.411,1.555,0.048,0.0,0.027,0.188,0.0,0.0,0.007,0.058,0.004,0.0,0.004,0.0,0,56.0,0.72,0,0.0,372.0,293.8,0.072,9,143.0,3.658,1.911,3.126,0.0,47.0,47.0,47.0,0,1.75,503,0,12.0,0.075,198.0,138.0,12.56,160.0,0.457,30.7,142.0,0.37,0,0.04,9.51,160.0,0.89,0.0,0.17,0.0,2.0,1.05,0.0,0.3,76.15,1.29
"Apricots, canned",0.0,0.0,0.0,0.01,0.0,0.001,0.069,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,6.39,0,1170.0,0.0,1.8,0.082,11,27.0,0.069,0.031,0.011,1.6,2.0,2.0,2.0,0,0.32,26,0,7.0,0.395,13.0,192.0,0.71,0.0,0.023,0.1,3.0,4.79,0,0.021,0.16,98.0,0.0,0.0,0.054,3.4,0.0,0.6,0.0,2.2,92.36,0.11
