Food,Capric acid,Lauric acid,Myristic acid,Palmitic acid,Palmitoleic acid,Stearic acid,Oleic acid,Linoleic Acid,Linolenic Acid,Stearidonic acid,Eicosenoic acid,Arachidonic acid,Eicosapentaenoic acid,Erucic acid,Docosapentaenoic acid,Docosahexaenoic acid,Butyric acid,Caproic acid,Caprylic acid,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,Choline,Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated",Dietary Fiber,"Folate, DFE","Folate, food",Folate,Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,Vitamin A,Vitamin B12,"Vitamin B-12, added",Vitamin B6,Vitamin C,Vitamin D,Vitamin E,"Vitamin E, added",Vitamin K,Water,Zinc
"Okra, frozen ",0.0,0.0,0.0,0.055,0.001,0.006,0.041,0.065,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,81.0,6.63,0,210.0,0.0,11.4,0.083,0,30.0,0.041,0.066,0.065,2.2,148.0,148.0,148.0,0,0.57,482,0,43.0,0.708,42.0,211.0,1.69,0.0,0.105,0.6,3.0,2.97,0,0.089,0.25,18.0,0.0,0.0,0.042,12.4,0.0,0.33,0.0,49.4,90.82,0.53
"Lima beans, dried",0.0,0.0,0.003,0.096,0.016,0.005,2.216,0.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1246.0,52.1,31,3407.0,0.0,97.1,1.786,175,279.0,2.232,0.328,0.115,10.4,274.0,274.0,274.0,0,42.46,2428,0,694.0,10.707,481.0,4466.0,21.93,0.0,1.5,29.3,211.0,7.27,0,1.252,4.78,293.0,0.0,0.0,0.61,566.7,0.0,1.03,0.0,1359.5,7.3,4.72
"Plum, fresh ",0.006,0.0,0.033,2.231,0.201,0.811,3.411,1.555,0.048,0.0,0.027,0.188,0.0,0.0,0.007,0.058,0.004,0.0,0.004,0.0,0,56.0,0.72,0,0.0,372.0,293.8,0.072,9,143.0,3.658,1.911,3.126,0.0,47.0,47.0,47.0,0,1.75,503,0,12.0,0.075,198.0,138.0,12.56,160.0,0.457,30.7,142.0,0.37,0,0.04,9.51,160.0,0.89,0.0,0.17,0.0,2.0,1.05,0.0,0.3,76.15,1.29
"Green beans, fresh",0.0,0.0,0.054,2.996,0.441,0.632,6.084,0.558,0.102,0.0,0.0,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.0,1.45,0,14.0,884.0,263.4,0.062,12,185.0,6.525,1.223,3.681,0.0,80.0,80.0,80.0,0,3.85,459,0,17.0,0.2,220.0,222.0,12.81,192.0,0.404,36.4,146.0,0.93,0,0.156,13.77,194.0,5.4,0.0,0.25,0.0,1.7,1.34,0.0,0.4,70.83,1.41
"Apples, frozen juice concentrate",0.018,0.009,0.071,0.241,0.018,0.104,0.187,0.021,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.009,0.009,0.0,0,159.0,19.7,0,8.0,4.0,3.1,0.203,0,104.0,0.205,0.03,0.488,2.0,12.0,12.0,12.0,0,0.04,0,0,40.0,0.2,129.0,339.0,4.4,1.0,0.18,2.8,81.0,12.61,0,0.04,0.8,2.0,0.49,0.0,0.04,0.7,0.0,0.08,0.0,0.3,73.5,0.49
cauliflower heads  ,0.0,0.0,0.0,0.062,0.0,0.008,0.032,0.05,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.0,4.11,0,7.0,0.0,39.1,0.018,0,23.0,0.032,0.217,0.07,2.3,44.0,44.0,44.0,0,0.32,29,0,9.0,0.41,32.0,142.0,1.84,0.0,0.052,0.6,15.0,2.08,0,0.042,0.45,1.0,0.0,0.0,0.173,44.3,0.0,0.07,0.0,13.8,93.0,0.17
"collard greens, frozen ",0.1,0.2,1.3,23.8,2.7,13.5,41.2,10.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,95.0,49.7,0.0,0,902.0,45.1,11.2,39.2,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.5,0.6,0.0,0.0,0.0,0.11
Kiwi,0.0,0.0,0.0,0.017,0.0,0.012,0.047,0.246,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.0,14.66,0,52.0,0.0,7.8,0.13,0,61.0,0.047,0.287,0.029,3.0,25.0,25.0,25.0,0,0.31,122,0,17.0,0.341,34.0,312.0,1.14,0.0,0.025,0.2,3.0,8.99,0,0.027,0.52,4.0,0.0,0.0,0.063,92.7,0.0,1.46,0.0,40.3,83.07,0.14
"Lima beans, frozen ",0.905,8.836,3.756,3.092,0.241,4.58,1.375,0.305,0.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.638,0.0,0,6.0,23.05,0,86.0,0.0,0.0,0.03,0,318.0,1.616,0.523,21.783,0.0,0.0,0.0,0.0,0,0.12,0,0,2.0,0.0,8.0,18.0,1.25,0.0,0.0,2.1,25.0,23.05,0,0.0,25.31,7.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,6.3,50.21,0.03
"brussels sprouts, frozen ",0.0,0.0,0.001,0.069,0.003,0.004,0.025,0.059,0.129,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0,26.0,8.32,0,555.0,0.0,18.1,0.034,0,42.0,0.03,0.2,0.081,4.1,101.0,101.0,101.0,0,0.48,1541,0,18.0,0.537,56.0,290.0,3.64,0.0,0.113,0.6,15.0,2.08,0,0.103,0.39,46.0,0.0,0.0,0.289,45.7,0.0,0.51,0.0,193.5,86.74,0.24
"Turnip greens, fresh ",0.0,0.0,0.0,0.036,0.0,0.005,0.088,0.073,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,177.0,2.65,0,3142.0,0.0,11.4,0.385,46,23.0,0.088,0.389,0.041,1.6,68.0,68.0,68.0,0,3.17,5650,0,64.0,0.902,56.0,295.0,3.15,0.0,0.076,0.3,4.0,0.3,0,0.034,0.64,264.0,0.0,0.0,0.155,18.0,0.0,0.8,0.0,414.8,92.06,0.81
"Mustard greens, frozen",0.0,0.0,0.0,0.006,0.001,0.002,0.018,0.024,0.022,0.0,0.023,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0,101.0,3.11,0,4246.0,0.0,0.3,0.058,0,19.0,0.113,0.047,0.013,2.8,70.0,70.0,70.0,0,1.12,6672,0,13.0,0.258,24.0,139.0,2.27,0.0,0.053,0.6,25.0,0.32,0,0.04,0.25,354.0,0.0,0.0,0.108,13.8,0.0,1.35,0.0,335.1,93.8,0.2
"yogurt, whole-fat plain ",0.412,0.255,2.683,7.491,0.822,2.88,5.925,0.566,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.177,0.203,0.0,0,575.0,2.47,0,63.0,89.0,15.0,0.022,0,318.0,7.027,0.778,15.561,0.0,8.0,8.0,8.0,0,0.2,0,0,21.0,0.094,412.0,75.0,21.6,192.0,0.27,16.1,710.0,1.01,0,0.016,24.64,197.0,0.73,0.0,0.062,0.0,0.5,0.21,0.0,2.5,48.38,2.46
"broccoli heads, fresh ",0.0,0.0,0.0,0.036,0.0,0.005,0.088,0.073,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,177.0,2.65,0,3142.0,0.0,11.4,0.385,46,23.0,0.088,0.389,0.041,1.6,68.0,68.0,68.0,0,3.17,5650,0,64.0,0.902,56.0,295.0,3.15,0.0,0.076,0.3,4.0,0.3,0,0.034,0.64,264.0,0.0,0.0,0.155,18.0,0.0,0.8,0.0,414.8,92.06,0.81
"Lettuce, romaine, hearts",0.0,0.0,0.0,0.026,0.002,0.003,0.006,0.034,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35.0,2.23,0,1987.0,0.0,8.4,0.016,0,13.0,0.008,0.117,0.029,1.1,73.0,73.0,73.0,0,1.24,1223,0,13.0,0.357,33.0,238.0,1.35,0.0,0.062,0.6,5.0,0.94,0,0.057,0.22,166.0,0.0,0.0,0.082,3.7,0.0,0.18,0.0,102.3,95.63,0.2
"Pineapple, frozen juice concentrate",0.018,0.009,0.071,0.241,0.018,0.104,0.187,0.021,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.009,0.009,0.0,0,159.0,19.7,0,8.0,4.0,3.1,0.203,0,104.0,0.205,0.03,0.488,2.0,12.0,12.0,12.0,0,0.04,0,0,40.0,0.2,129.0,339.0,4.4,1.0,0.18,2.8,81.0,12.61,0,0.04,0.8,2.0,0.49,0.0,0.04,0.7,0.0,0.08,0.0,0.3,73.5,0.49
"brussels sprouts, fresh ",0.0,0.0,0.0,0.053,0.002,0.003,0.019,0.045,0.099,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0,42.0,8.95,6,450.0,0.0,19.1,0.07,0,43.0,0.023,0.153,0.062,3.8,61.0,61.0,61.0,0,1.4,1590,0,23.0,0.745,69.0,389.0,3.38,0.0,0.09,1.6,25.0,2.2,0,0.139,0.3,38.0,0.0,0.0,0.219,85.0,0.0,0.88,0.0,177.0,86.0,0.42
"Strawberries, fresh ",0.0,0.0,0.05,2.849,0.394,0.696,5.353,0.68,0.554,0.0,0.0,0.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,1.35,0,13.0,852.0,263.4,0.062,12,185.0,5.747,1.672,3.595,0.0,76.0,76.0,76.0,0,3.64,442,0,16.0,0.189,208.0,210.0,13.87,185.0,0.382,36.9,138.0,0.94,0,0.147,13.27,187.0,5.1,0.0,0.236,0.0,1.7,1.29,0.0,0.4,70.43,1.33
"broccoli florets, fresh ",0.0,0.0,0.0,0.036,0.0,0.005,0.088,0.073,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,177.0,2.65,0,3142.0,0.0,11.4,0.385,46,23.0,0.088,0.389,0.041,1.6,68.0,68.0,68.0,0,3.17,5650,0,64.0,0.902,56.0,295.0,3.15,0.0,0.076,0.3,4.0,0.3,0,0.034,0.64,264.0,0.0,0.0,0.155,18.0,0.0,0.8,0.0,414.8,92.06,0.81
Pomegranate juice,0.0,0.004,0.004,0.044,0.008,0.024,0.049,0.05,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.0,13.13,0,0.0,0.0,4.8,0.021,0,54.0,0.059,0.05,0.077,0.1,24.0,24.0,24.0,0,0.1,0,0,7.0,0.233,11.0,214.0,0.15,0.0,0.015,0.3,9.0,12.65,0,0.015,0.29,0.0,0.0,0.0,0.04,0.1,0.0,0.38,0.0,10.4,85.95,0.09
"asparagus, fresh ",0.0,0.0,0.054,2.996,0.441,0.632,6.084,0.558,0.102,0.0,0.0,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.0,1.45,0,14.0,884.0,263.4,0.062,12,185.0,6.525,1.223,3.681,0.0,80.0,80.0,80.0,0,3.85,459,0,17.0,0.2,220.0,222.0,12.81,192.0,0.404,36.4,146.0,0.93,0,0.156,13.77,194.0,5.4,0.0,0.25,0.0,1.7,1.34,0.0,0.4,70.83,1.41
"Grapes, frozen juice concentrate",0.018,0.009,0.071,0.241,0.018,0.104,0.187,0.021,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.009,0.009,0.0,0,159.0,19.7,0,8.0,4.0,3.1,0.203,0,104.0,0.205,0.03,0.488,2.0,12.0,12.0,12.0,0,0.04,0,0,40.0,0.2,129.0,339.0,4.4,1.0,0.18,2.8,81.0,12.61,0,0.04,0.8,2.0,0.49,0.0,0.04,0.7,0.0,0.08,0.0,0.3,73.5,0.49
"Strawberries, frozen ",0.0,0.0,0.0,0.004,0.0,0.001,0.015,0.031,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.0,9.13,0,27.0,0.0,5.7,0.049,0,35.0,0.015,0.054,0.006,2.1,17.0,17.0,17.0,0,0.75,26,0,11.0,0.462,13.0,148.0,0.43,0.0,0.037,0.7,2.0,4.56,0,0.022,0.11,2.0,0.0,0.0,0.028,41.2,0.0,0.29,0.0,2.2,89.97,0.13
"artichoke, canned",0.073,0.18,0.783,2.396,0.137,1.209,2.188,0.216,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.167,0.097,0.0,0,284.0,54.4,0,14.0,34.0,89.1,0.015,0,321.0,2.427,0.337,5.486,0.0,11.0,11.0,11.0,0,0.19,0,0,26.0,0.21,253.0,371.0,7.91,73.0,0.416,14.8,127.0,54.4,0,0.09,8.7,74.0,0.44,0.0,0.051,2.6,0.2,0.16,0.0,0.6,27.16,0.94
"Kale, fresh ",0.006,0.0,0.033,2.231,0.201,0.811,3.411,1.555,0.048,0.0,0.027,0.188,0.0,0.0,0.007,0.058,0.004,0.0,0.004,0.0,0,56.0,0.72,0,0.0,372.0,293.8,0.072,9,143.0,3.658,1.911,3.126,0.0,47.0,47.0,47.0,0,1.75,503,0,12.0,0.075,198.0,138.0,12.56,160.0,0.457,30.7,142.0,0.37,0,0.04,9.51,160.0,0.89,0.0,0.17,0.0,2.0,1.05,0.0,0.3,76.15,1.29
grade A eggs ,0.049,0.055,0.175,0.558,0.027,0.243,0.508,0.062,0.008,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.077,0.04,0.02,0.0,0,120.0,4.8,0,4.0,8.0,16.4,0.006,0,50.0,0.56,0.073,1.257,0.0,5.0,5.0,5.0,0,0.02,0,0,11.0,0.092,92.0,140.0,3.3,55.0,0.185,2.5,47.0,5.06,0,0.039,1.98,55.0,0.53,0.0,0.038,0.2,1.2,0.03,0.0,0.2,89.21,0.48
"Cherries, fresh ",0.0,0.0,0.054,2.996,0.441,0.632,6.084,0.558,0.102,0.0,0.0,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.0,1.45,0,14.0,884.0,263.4,0.062,12,185.0,6.525,1.223,3.681,0.0,80.0,80.0,80.0,0,3.85,459,0,17.0,0.2,220.0,222.0,12.81,192.0,0.404,36.4,146.0,0.93,0,0.156,13.77,194.0,5.4,0.0,0.25,0.0,1.7,1.34,0.0,0.4,70.83,1.41
"asparagus, canned",0.04,0.03,0.12,0.34,0.04,0.17,0.69,1.42,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.02,0.0,0,23.0,8.52,0,256.0,4.0,13.0,0.1,0,69.0,0.75,1.46,0.82,0.4,19.0,19.0,19.0,0,0.64,326,13,3.0,0.62,31.0,138.0,1.82,5.0,0.062,1.9,669.0,0.72,0,0.043,3.26,26.0,0.04,0.0,0.01,2.2,0.0,0.49,0.0,22.0,84.05,0.7
"Peaches, frozen ",0.0,0.0,0.0,0.012,0.001,0.002,0.047,0.063,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,23.98,0,141.0,0.0,5.1,0.024,58,94.0,0.048,0.064,0.014,1.8,3.0,3.0,3.0,0,0.37,77,0,5.0,0.653,11.0,130.0,0.63,0.0,0.035,0.4,6.0,22.18,0,0.013,0.13,14.0,0.0,0.0,0.018,94.2,0.0,0.62,0.0,2.2,74.73,0.05
"Apricots, fresh ",0.0,0.0,0.054,2.996,0.441,0.632,6.084,0.558,0.102,0.0,0.0,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.0,1.45,0,14.0,884.0,263.4,0.062,12,185.0,6.525,1.223,3.681,0.0,80.0,80.0,80.0,0,3.85,459,0,17.0,0.2,220.0,222.0,12.81,192.0,0.404,36.4,146.0,0.93,0,0.156,13.77,194.0,5.4,0.0,0.25,0.0,1.7,1.34,0.0,0.4,70.83,1.41
"carrots, frozen ",0.0,0.003,0.001,0.041,0.004,0.001,0.01,0.247,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36.0,7.9,2958,7047.0,0.0,7.5,0.074,0,36.0,0.014,0.263,0.047,3.3,10.0,10.0,10.0,0,0.44,218,1,12.0,0.464,33.0,235.0,0.78,0.0,0.037,0.7,68.0,4.76,0,0.044,0.46,710.0,0.0,0.0,0.095,2.5,0.0,0.57,0.0,17.6,90.04,0.33
"Mushrooms, pre-sliced",0.004,0.003,0.046,0.776,0.096,0.38,1.483,0.507,0.016,0.0,0.029,0.054,0.001,0.001,0.005,0.002,0.0,0.0,0.0,0.0,0,5.0,0.7,0,0.0,41.0,62.4,0.05,0,107.0,1.618,0.626,1.227,0.0,0.0,0.0,0.0,0,0.59,0,0,19.0,5.697,252.0,463.0,16.85,0.0,0.266,31.6,945.0,0.0,0,0.336,4.04,0.0,0.36,0.0,0.394,0.0,0.6,0.29,0.0,0.0,74.84,1.51
"Mushrooms, whole",0.582,0.69,2.189,5.331,0.597,2.442,5.649,0.393,0.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.805,0.446,0.257,0.0,0,505.0,2.19,0,57.0,79.0,15.4,0.011,0,300.0,6.573,0.765,13.152,0.0,7.0,7.0,7.0,0,0.44,0,0,20.0,0.104,354.0,76.0,22.17,174.0,0.283,17.0,627.0,1.03,0,0.03,22.35,179.0,2.28,0.0,0.037,0.0,0.4,0.19,0.0,2.3,50.01,2.92
"Tomatoes, grape and cherry",0.013,0.062,0.019,0.884,0.0,0.976,7.559,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0,9.0,11.38,0,9.0,0.0,0.0,0.0,0,136.0,7.551,0.027,1.937,0.0,0.0,0.0,0.0,0,0.03,0,0,0.0,0.0,64.0,191.0,1.0,0.0,0.0,1.1,67.0,11.38,0,0.0,9.97,1.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,2.5,77.27,0.02
"Blueberries, frozen ",0.0,0.0,0.0,0.031,0.002,0.011,0.087,0.167,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,12.17,0,28.0,0.0,5.1,0.033,0,51.0,0.091,0.279,0.053,2.7,7.0,7.0,7.0,0,0.18,68,0,5.0,0.52,11.0,54.0,0.42,0.0,0.037,0.1,1.0,8.45,0,0.032,0.64,2.0,0.0,0.0,0.059,2.5,0.0,0.48,0.0,16.4,86.59,0.07
"chicken breast, boneless ",0.0,0.037,0.133,3.045,0.887,0.813,5.277,2.764,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,73.0,1.5,0,0.0,78.0,43.2,0.045,0,188.0,6.267,2.986,4.094,0.2,11.0,11.0,11.0,0,1.56,0,0,14.0,2.005,121.0,106.0,14.6,3.0,0.197,10.3,267.0,1.4,0,0.017,14.4,3.0,0.4,0.0,0.103,1.7,0.1,0.37,0.0,0.4,68.3,1.01
raisins,0.0,0.0,0.004,0.129,0.0,0.018,0.019,0.104,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53.0,79.52,0,0.0,0.0,11.1,0.363,0,302.0,0.019,0.135,0.151,4.0,3.0,3.0,3.0,0,1.79,0,0,35.0,1.142,115.0,746.0,3.39,0.0,0.191,0.7,12.0,59.19,0,0.008,0.46,0.0,0.0,0.0,0.323,3.2,0.0,0.12,0.0,3.5,14.97,0.32
"Berries, mixed, frozen ",0.905,8.836,3.756,3.092,0.241,4.58,1.375,0.305,0.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.638,0.0,0,6.0,23.05,0,86.0,0.0,0.0,0.03,0,318.0,1.616,0.523,21.783,0.0,0.0,0.0,0.0,0,0.12,0,0,2.0,0.0,8.0,18.0,1.25,0.0,0.0,2.1,25.0,23.05,0,0.0,25.31,7.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,6.3,50.21,0.03
"Spinach, fresh ",0.006,0.0,0.033,2.231,0.201,0.811,3.411,1.555,0.048,0.0,0.027,0.188,0.0,0.0,0.007,0.058,0.004,0.0,0.004,0.0,0,56.0,0.72,0,0.0,372.0,293.8,0.072,9,143.0,3.658,1.911,3.126,0.0,47.0,47.0,47.0,0,1.75,503,0,12.0,0.075,198.0,138.0,12.56,160.0,0.457,30.7,142.0,0.37,0,0.04,9.51,160.0,0.89,0.0,0.17,0.0,2.0,1.05,0.0,0.3,76.15,1.29
pork chops ,0.02,0.01,0.05,0.7,0.07,0.28,1.52,1.02,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,16.97,118,336.0,2.0,26.7,0.3,0,129.0,1.62,1.36,1.14,5.9,24.0,24.0,24.0,0,1.53,9,5946,33.0,0.421,98.0,375.0,5.88,1.0,0.025,6.4,672.0,3.0,0,0.065,4.42,34.0,0.03,0.0,0.031,1.2,0.0,0.87,0.0,2.4,70.17,0.77
ground chuck beef ,0.0,0.0,0.0,0.977,0.062,0.458,8.463,5.921,3.792,0.0,3.994,0.0,0.0,9.355,0.0,0.0,0.0,0.0,0.0,0.0,0,266.0,28.09,0,18.0,0.0,122.7,0.645,0,508.0,22.518,10.088,1.989,12.2,162.0,162.0,162.0,0,9.21,568,0,370.0,4.733,828.0,738.0,26.08,0.0,0.261,208.1,13.0,6.79,0,0.805,36.24,2.0,0.0,0.0,0.397,7.1,0.0,5.07,0.0,5.4,5.27,6.08
"Blackberries, frozen ",0.0,0.0,0.0,0.01,0.0,0.002,0.038,0.163,0.082,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,29.0,15.67,0,68.0,0.0,8.5,0.12,0,64.0,0.041,0.245,0.015,5.0,34.0,34.0,34.0,0,0.8,118,0,22.0,1.207,30.0,140.0,1.18,0.0,0.046,0.4,1.0,10.67,0,0.029,0.43,6.0,0.0,0.0,0.061,3.1,0.0,1.17,0.0,19.8,82.21,0.25
american cheese ,0.064,0.07,0.263,0.778,0.047,0.345,0.714,0.105,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.025,0.023,0.0,0,83.0,3.38,0,12.0,17.0,18.4,0.029,0,98.0,0.778,0.123,1.718,0.0,12.0,12.0,12.0,0,0.07,0,0,8.0,0.099,159.0,104.0,11.12,36.0,0.163,9.7,364.0,2.67,0,0.027,4.3,37.0,0.43,0.0,0.046,0.0,0.1,0.08,0.0,0.0,79.79,0.4
ground beef ,0.029,0.033,0.174,1.373,0.109,0.724,6.378,2.142,0.327,0.0,0.112,0.011,0.001,0.004,0.003,0.0,0.021,0.015,0.011,0.0,0,47.0,21.39,1,64.0,14.0,28.1,0.104,19,219.0,6.661,2.496,2.549,3.7,14.0,14.0,14.0,0,1.01,46,252,33.0,1.01,153.0,298.0,6.21,36.0,0.137,8.1,348.0,1.63,0,0.073,12.48,42.0,0.31,0.0,0.158,0.0,0.1,1.75,0.0,5.4,58.15,1.05
"butter, stick ",2.039,2.354,7.515,20.531,1.417,7.649,17.37,2.713,0.298,0.003,0.147,0.119,0.022,0.005,0.045,0.003,1.635,1.373,0.858,0.0,0,23.0,2.87,1,135.0,225.0,18.8,0.01,6,718.0,19.874,3.331,45.39,0.0,4.0,4.0,4.0,0,0.05,13,0,1.0,0.022,24.0,41.0,0.49,671.0,0.064,0.0,583.0,0.06,0,0.007,78.3,683.0,0.07,0.0,0.008,0.0,0.0,1.37,0.0,4.6,16.72,0.05
"Blueberries, fresh ",0.0,0.0,0.054,2.996,0.441,0.632,6.084,0.558,0.102,0.0,0.0,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.0,1.45,0,14.0,884.0,263.4,0.062,12,185.0,6.525,1.223,3.681,0.0,80.0,80.0,80.0,0,3.85,459,0,17.0,0.2,220.0,222.0,12.81,192.0,0.404,36.4,146.0,0.93,0,0.156,13.77,194.0,5.4,0.0,0.25,0.0,1.7,1.34,0.0,0.4,70.83,1.41
"Cranberries, dried ",0.014,0.0,0.0,0.034,0.007,0.02,0.277,0.159,0.023,0.0,0.007,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,82.8,0,27.0,0.0,8.3,0.063,0,308.0,0.298,0.182,0.088,5.3,0.0,0.0,0.0,0,0.39,138,0,4.0,0.548,8.0,49.0,0.17,0.0,0.028,0.6,5.0,72.56,0,0.013,1.09,2.0,0.0,0.0,0.038,0.2,0.0,2.1,0.0,7.6,15.79,0.1
ham,0.03,0.01,0.24,4.02,0.67,1.99,8.491,1.86,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,0.26,0,0.0,49.0,64.4,0.05,0,239.0,9.161,2.06,6.291,0.0,1.0,1.0,1.0,0,0.95,0,0,13.0,3.2,139.0,284.0,16.06,0.0,0.165,18.6,1280.0,0.0,0,0.535,18.83,0.0,0.7,0.0,0.32,2.0,0.6,0.25,0.0,0.0,60.77,1.83
chocolate chip cookie ,0.078,0.088,0.315,0.889,0.071,0.466,0.872,0.078,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.06,0.035,0.0,1,112.0,10.34,0,7.0,12.0,17.0,0.065,0,83.0,0.99,0.124,2.104,0.8,5.0,5.0,5.0,0,0.24,0,0,13.0,0.125,101.0,167.0,3.17,26.0,0.162,1.9,60.0,9.54,23,0.037,3.39,27.0,0.33,0.0,0.04,0.9,1.3,0.07,0.0,0.3,82.3,0.41
"Okra, fresh ",0.006,0.0,0.033,2.231,0.201,0.811,3.411,1.555,0.048,0.0,0.027,0.188,0.0,0.0,0.007,0.058,0.004,0.0,0.004,0.0,0,56.0,0.72,0,0.0,372.0,293.8,0.072,9,143.0,3.658,1.911,3.126,0.0,47.0,47.0,47.0,0,1.75,503,0,12.0,0.075,198.0,138.0,12.56,160.0,0.457,30.7,142.0,0.37,0,0.04,9.51,160.0,0.89,0.0,0.17,0.0,2.0,1.05,0.0,0.3,76.15,1.29
"Dates, dried",0.145,0.162,0.581,1.52,0.129,0.7,1.454,0.131,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.111,0.065,0.0,0,1184.0,49.0,0,9.0,69.0,118.7,0.111,0,387.0,1.669,0.215,3.598,0.0,47.0,47.0,47.0,0,0.3,0,0,110.0,0.876,933.0,1592.0,34.3,48.0,1.579,20.3,517.0,49.0,0,0.392,5.78,49.0,3.82,0.0,0.338,5.7,0.5,0.1,0.0,0.4,2.97,4.02
cheddar cheese ,0.82,0.935,3.005,8.625,0.504,3.394,7.403,1.171,0.114,0.0,0.065,0.053,0.01,0.001,0.017,0.001,0.634,0.536,0.337,0.0,0,710.0,3.09,0,85.0,99.0,16.5,0.03,0,404.0,9.246,1.421,18.867,0.0,27.0,27.0,27.0,0,0.14,0,0,27.0,0.059,455.0,76.0,22.87,330.0,0.428,28.5,653.0,0.48,0,0.029,33.31,330.0,1.1,0.0,0.066,0.0,0.6,0.71,0.0,2.4,37.02,3.64
