p2_food,matched_to,score
"Tomatoes, grape and cherry","Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",86
"Tomatoes, Roma and plum","Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",86
"Tomatoes, large round","Cheese, cottage, creamed, large or small curd",86
"Tomatoes, canned ","Milk, canned, condensed, sweetened",86
"Turnip greens, fresh ","Basil, fresh",86
"Turnip greens, canned ","Turnip greens, canned, no salt added",90
"Zucchini, fresh ","Egg, duck, whole, fresh, raw",86
Apples,"Babyfood, apples, dices, toddler",90
applesauce,"Babyfood, fruit, applesauce, strained",90
Apple juice ,"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",90
"Apples, frozen juice concentrate","Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener",86
"Apricots, fresh ","Egg, duck, whole, fresh, raw",86
"Apricots, canned","Apricots, canned, water pack, with skin, solids and liquids",90
"Apricots, dried","Apricots, dried, sulfured, uncooked",90
Bananas,"Babyfood, fruit, bananas with tapioca, strained",90
"Berries, mixed, frozen ","Dessert topping, semi solid, frozen",86
"Blackberries, fresh ","Egg, goose, whole, fresh, raw",86
"Blackberries, frozen ","Blackberries, frozen, unsweetened",90
"Blueberries, fresh ","Egg, duck, whole, fresh, raw",86
"Blueberries, frozen ","Blueberries, frozen, unsweetened",90
"Cantaloupe, fresh ","Egg, duck, whole, fresh, raw",86
"Cherries, fresh ","Egg, duck, whole, fresh, raw",86
"Cherries, canned ","Cherries, sour, red, canned, water pack, solids and liquids (includes USDA commodity red tart cherries, canned)",90
"Clementines, fresh ","Egg, duck, whole, fresh, raw",86
"Cranberries, dried ","Cranberries, dried, sweetened",90
"Dates, dried","Milk, buttermilk, dried",86
"Figs, dried ","Figs, dried, uncooked",90
"Fruit cocktail, in juice","Cheese, cottage, creamed, with fruit",86
"Fruit cocktail, in syrup or water","Cheese, cottage, nonfat, uncreamed, dry, large or small curd",86
Grapefruit,"Grapefruit, raw, pink and red and white, all areas",90
"Grapefruit, juice","Grapefruit juice, white, canned or bottled, unsweetened",87
Grapes,"Grapes, american type (slip skin), raw",90
raisins,"Raisins, golden seedless",90
Grape juice ,"Grape juice, canned or bottled, unsweetened, with added ascorbic acid",90
"Grapes, frozen juice concentrate","Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener",86
Honeydew,"Melons, honeydew, raw",90
Kiwi,"Kiwifruit, green, raw",90
"Mangoes, fresh ","Egg, whole, raw, fresh",86
"Mangoes, dried","Milk, buttermilk, dried",86
Nectarines,"Nectarines, raw",90
Oranges,"Oranges, raw, all commercial varieties",90
Orange juice,"Orange juice, raw",95
"Orange, frozen juice concentrate","Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener",86
"Papaya, fresh ","Egg, whole, raw, fresh",86
"Papaya, dried","Milk, buttermilk, dried",86
"Peaches, fresh ","Egg, whole, raw, fresh",86
"Peach, canned in juice","Milk, canned, condensed, sweetened",86
"Peaches, canned in syrup ","Milk, canned, evaporated, with added vitamin D and without added vitamin A",86
"Peaches, frozen ","Peaches, frozen, sliced, sweetened",90
"Pears, fresh ","Egg, whole, raw, fresh",86
"Pears, canned in juice","Pears, canned, juice pack, solids and liquids",86
"Pears, canned in syrup ","Milk, canned, condensed, sweetened",86
"Pineapple, fresh ","Egg, duck, whole, fresh, raw",86
"Pineapple, canned in juice","Pineapple, canned, juice pack, drained",89
"Pineapple, canned in syrup","Milk, canned, evaporated, with added vitamin D and without added vitamin A",86
"Pineapple, dried","Spices, coriander leaf, dried",86
Pineapple juice,"Pineapple juice, canned or bottled, unsweetened, without added ascorbic acid",90
"Pineapple, frozen juice concentrate","Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener",86
"Plum, fresh ","Egg, whole, raw, fresh",86
"Plum (prunes), dried","Babyfood, fruit, prunes with tapioca, without ascorbic acid, strained",86
Plum (prune) juice ,"Babyfood, juice treats, fruit medley, toddler",86
"Pomegranate, fresh ","Egg, duck, whole, fresh, raw",86
Pomegranate juice,"Pomegranate juice, bottled",90
"Raspberries, fresh ","Egg, duck, whole, fresh, raw",86
"Raspberries, frozen ","Raspberries, frozen, red, sweetened",90
"Strawberries, fresh ","Egg, goose, whole, fresh, raw",86
"Strawberries, frozen ","Strawberries, frozen, unsweetened",90
Watermelon,"Watermelon, raw",90
